Name,Phase,Transition type,transition_temp,SMILES,Refs
07036KW,N,2,263.0,N#CCCCCCOc1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)cc1,10.1080/02678292.2019.1662116
07039KW,N,2,248.0,N#CCCCCCCOc1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)cc1,10.1080/02678292.2019.1662116
07035KW,N,2,259.0,N#Cc1ccc(-c2ccc(-c3ccc(OCCCCCF)cc3)cc2)cc1,10.1080/02678292.2019.1616228
Acid1,N,2,156.0,CCCOc1ccc(C(=O)O)cc1,Springer Handbook of Materials Data
Acid2,N,2,161.0,CCCCOc1ccc(C(=O)O)cc1,Springer Handbook of Materials Data
Acid3,N,2,151.4,CCCCCOc1ccc(C(=O)O)cc1,Springer Handbook of Materials Data
Acid4,N,2,153.2,CCCCCCOc1ccc(C(=O)O)cc1,Springer Handbook of Materials Data
Acid5-HOBA,N,2,147.5,CCCCCCCOc1ccc(C(=O)O)cc1,Springer Handbook of Materials Data
5CB,N,2,35.3,CCCCCc1ccc(-c2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
6CB,N,2,30.1,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
7CB,N,2,42.8,CCCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
5OCB,N,2,68.0,CCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
6OCB,N,2,75.5,CCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
7OCB,N,2,75.0,CCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
PCH-3,N,2,45.9,CCC[C@H]1CC[C@@H](c2ccc(C#N)cc2)CC1,Springer Handbook of Materials Data
PCH-4,N,2,41.0,CCCC[C@H]1CC[C@@H](c2ccc(C#N)cc2)CC1,Springer Handbook of Materials Data
PCH-5,N,2,55.0,CCCCC[C@H]1CC[C@@H](c2ccc(C#N)cc2)CC1,Springer Handbook of Materials Data
PCH-7,N,2,57.8,CCCCCCC[C@H]1CC[C@@H](c2ccc(C#N)cc2)CC1,Springer Handbook of Materials Data
PCH-8,N,2,55.0,CCCCCCCC[C@H]1CC[C@@H](c2ccc(C#N)cc2)CC1,Springer Handbook of Materials Data
Comp35,N,2,56.5,CCC[C@H]1CC[C@@H](c2ccc(C(=O)CC)cc2)CC1,Springer Handbook of Materials Data
Comp36,N,2,68.8,CCCCC[C@H]1CC[C@@H](c2ccc(C(=O)CC)cc2)CC1,Springer Handbook of Materials Data
CCH-7,N,2,83.0,CCCCCCC[C@H]1CC[C@@H]([C@H]2CC[C@@H](C#N)CC2)CC1,Springer Handbook of Materials Data
RO-CM-4513,N,2,99.7,C/C=C/[C@H]1CC[C@@H]([C@H]2CC[C@@H](C#N)CC2)CC1,Springer Handbook of Materials Data
CCH-301,N,2,17.0,CCC[C@H]1CC[C@@H]([C@H]2CC[C@@H](OC)CC2)CC1,Springer Handbook of Materials Data
Comp49,N,2,43.5,CCCCCc1ccc(-c2ccc(C#N)cc2)nc1,Springer Handbook of Materials Data
RO-CM-7037,N,2,51.0,CCCCCCCc1cnc(-c2ccc(C#N)cc2)nc1,Springer Handbook of Materials Data
PYP605,N,2,53.0,CCCCCCc1cnc(-c2ccc(OCCCCC)cc2)nc1,Springer Handbook of Materials Data
PYP606,N,2,60.8,CCCCCCOc1ccc(-c2ncc(CCCCCC)cn2)cc1,Springer Handbook of Materials Data
PYP607,N,2,58.3,CCCCCCCOc1ccc(-c2ncc(CCCCCC)cn2)cc1,Springer Handbook of Materials Data
PYP609,N,2,61.0,CCCCCCCCCOc1ccc(-c2ncc(CCCCCC)cn2)cc1,Springer Handbook of Materials Data
MBBA,N,2,48.0,CCCCc1ccc(/N=C/c2ccc(OC)cc2)cc1,Springer Handbook of Materials Data
RO-CM-1510,N,2,48.6,CCCCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
RO-CM-1540,N,2,56.5,CCCCCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
Comp89,N,2,55.0,CCCCCCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
Comp92,N,2,82.0,CCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
Comp93,N,2,88.0,CCCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,Springer Handbook of Materials Data
Comp97,N,2,89.5,CCCCCCOc1ccc(C(=O)Oc2ccc(OCCCC)cc2)cc1,Springer Handbook of Materials Data
Comp113,N,2,189.0,CCCCCc1ccc(-c2ccc(-c3ccc(C#N)cc3)c(F)c2)cc1,Springer Handbook of Materials Data
Comp114,N,2,131.0,CCCc1ccc(-c2ccc(-c3ccc(CCC)cc3)c(F)c2F)cc1,Springer Handbook of Materials Data
BCH5,N,2,222.0,CCCCC[C@H]1CC[C@@H](c2ccc(-c3ccc(C#N)cc3)cc2)CC1,Springer Handbook of Materials Data
BCH52F,N,2,117.0,CCCCC[C@H]1CC[C@@H](c2ccc(-c3ccc(CC)cc3)c(F)c2)CC1,Springer Handbook of Materials Data
Comp119,N,2,175.4,CCCCC[C@H]1CC[C@@H](c2ccc(-c3ccc(C#N)c(F)c3)cc2)CC1,Springer Handbook of Materials Data
