Name,dipole_Boltzmann_Debye,dipole_moment_Boltzmann_average,dipole_moment_Boltzmann_std,dipole_moment_Boltzmann_skewness,dipole_moment_mean,dipole_moment_std,dipole_moment_skewness
MJ01056,5.646695102569141,2.2215811896897413,0.2832260159570329,1.3545591545490443,2.1393399888,0.213321558469734,2.4376352863637742
MJ01064,5.536925582131487,2.178394529638873,0.2948438030866393,1.42294084952054,2.3414577352,0.3808222820891646,0.0023183114453016
MJ01071,6.106543619035114,2.402499549142642,0.2316119410336644,-0.1547506369371387,2.4048724326000004,0.2389705548957377,-0.3348004288303967
MJ01077,6.443803427778144,2.5351877912970626,0.2822361606767853,-1.1867264828670798,2.5414631083,0.3083666595561902,-1.179955363436317
MJ01073,6.333025368580918,2.491604341496325,0.2176897272973043,-0.8320320855632095,2.4738335423,0.2285694080044899,-0.6853839527579193
MJ01075,5.916664263344068,2.3277952491492337,0.3809932847677851,0.3097479601822243,2.4477544101,0.3744892317286274,-0.3797372477159693
MJ01066,6.573357850665774,2.586158432300385,0.140387775664551,-2.3933844338628263,2.5278888378,0.2025591499601415,-1.222128811998865
MJ01041,6.085686900849487,2.3942938833579306,0.3505594007168284,-0.1134581857727418,2.4351868138,0.3569147219279743,-0.2554565050152681
RT08062,6.354519572766802,2.500060813616625,0.0006224414206676,0.0304378309675543,2.5000702865,0.0006225134999999,1.0700291474760253e-12
RT08050,5.658350937779933,2.2261669489319287,0.2125181064787773,1.1437551933409449,2.429209054666667,0.2308270091951389,-0.7058070768434447
RT08049,6.155212775065426,2.421647471881701,0.404221559717702,0.2872345535260813,2.5235324318,0.3958678032055648,-0.3551549575192122
07031KW,6.0737304260384,2.389589843374751,0.2493330514250931,0.6491825347776146,2.4089401724,0.2566657835308245,0.4952282135557578
PR10004,6.210231972014257,2.443293693395901,0.3260741954711725,-0.1737837093891071,2.4721353893999995,0.3606363438829538,-0.2089183020535792
01031MR,6.512382880496565,2.562169028886665,0.2854989737069745,-0.43896410754498,2.5439497529,0.2843140098083943,-0.2689489916101934
08141KW,6.2142674450543804,2.444881370937293,0.3135174063313448,0.2528497516053376,2.4623416661,0.3334087134415841,0.2134981796119506
PR09089,6.5403657666256585,2.573178345367971,0.7131693713340587,0.4854470568803634,2.3164639347,0.5850875452233422,1.473400130650342
06107KW,5.910272862441914,2.3252806781015547,0.9623128079211336,-1.0620485591760616,2.2220339799,1.0081150360543,-0.8661896629512437
06101KW,5.175681336897053,2.036270082414629,0.0883934234867735,-0.7493704712952056,1.9907804186,0.0928374392731392,-0.3856874184232755
06100KW,6.0648691298742685,2.3861035405875604,0.18870283468375,-0.2980337814155147,2.4061990713,0.1749282126969414,-0.5174158030865184
07094KW,6.945370071486149,2.7325193278502846,0.2728377663407348,-1.6184992979100772,2.4976413644,0.3929644073711772,-0.5511279539267706
07088KW,5.514891058598439,2.169725479492616,0.2874305120496807,-2.5809141688977904,1.9724529399,0.4433277101829353,-0.8690654197091853
07099KW,4.957168748715882,1.9503005999481784,0.590120931583864,-0.4007702083082182,2.0085016166666665,0.566780931381262,-0.6905972913907579
AF01009,6.254539464723642,2.4607256054395847,0.20111489034522,-2.199463484024093,2.3120388110000003,0.3183869694432563,-0.3830816420621074
RT09068,6.724171193522944,2.645492977474124,0.3029042971176662,-0.928749156079882,2.5416449662,0.3501311510465963,-0.498101148981857
06131KW,6.154913316496201,2.4215296557941675,0.2030807494054055,-0.3428367412390997,2.4442565957,0.1859636617993907,-0.5693334171044168
07004KW,6.841404543713455,2.691616134622994,0.2722912288253087,-1.1254988250290037,2.5539685923,0.3399398245436508,-0.4969441257951417
07056KW,6.166005234747861,2.4258935529938324,0.1851029372290312,-0.3510744218158873,2.4195337687,0.1769907373463096,-0.2143182680196356
07080KW,7.113953711592676,2.798845247161863,0.1974134953937886,-1.885729515080626,2.6634319659,0.3000707335068161,-1.124231706520595
07129KW,4.831410572872602,1.900823517720733,0.6892013046277663,0.4734732230049218,1.6257699199000002,0.5929065930595222,1.500501342192629
08116KW,5.427510688381665,2.135347390487352,0.1838147136324844,-0.1196962026325566,2.1570045928,0.1802020846978921,-0.3635378596131196
08117KW,4.795432772917124,1.8866687595523408,0.4623335412179325,0.2137035098877259,2.0347299108000003,0.4510133839470938,-0.4161924328841122
08118KW,5.977216128949841,2.351618190389536,0.6048158515891618,-1.3155985632932383,1.7981692505000002,0.7180086480280901,0.406356300853416
08119KW,5.057260369765004,1.9896796807253767,0.515543343489014,0.3377217387332813,2.2484293399000004,0.4557479808627562,-0.7674131163677588
08123KW,6.399026152480201,2.517571052528538,0.8577306717610901,-0.4208066031391791,2.3165204295,0.8172117851455545,-0.1869074701249861
08125KW,6.142289768879062,2.4165631691282536,0.4454681315972923,-1.0555094501102753,2.4468762544,0.3925441454364671,-1.3904263313052547
08128KW,6.3094698679813215,2.482336892821439,0.0915528202576979,-0.2008857592296551,2.490713131,0.0907102593994307,-0.1406853739186932
