molecule_id,family,y_true,y_score,cv_fold
M-0-0,dipole_prop,1,0.923180205524556,4
M-0-1,dipole_prop,1,0.9804240358096308,4
Li-1c,dipole_prop,1,0.5178322587192645,4
Li-2a,dipole_prop,1,0.6634787820485173,4
Li-5b,dipole_prop,1,0.6086296022436177,4
Li-6b,dipole_prop,1,0.05407445624145614,4
Li-12b,dipole_prop,0,0.6273201456549963,4
Li-12c,dipole_prop,0,0.9796542110210541,4
Li-13a,dipole_prop,0,0.8602386502660075,4
Li-21,dipole_prop,0,0.5935782330774241,4
Li-24,dipole_prop,0,0.6144230133802506,4
Li-29,dipole_prop,0,0.009856905513078724,4
06115KW,dipole_prop,0,0.0,5
MJ01041,dipole_prop,0,0.0011111111111111111,5
RT08050,dipole_prop,0,0.0011111111111111111,5
07031KW,dipole_prop,0,0.0,5
PR09089,dipole_prop,0,0.0011111111111111111,5
06107KW,dipole_prop,0,0.14444444444444443,5
06101KW,dipole_prop,0,0.0,5
06131KW,dipole_prop,0,0.0011111111111111111,5
07056KW,dipole_prop,0,0.0,5
08125KW,dipole_prop,0,0.0011111111111111111,5
08128KW,dipole_prop,0,0.02426889714993804,5
07038KW,dipole_prop,0,0.7725627372972347,5
Acid1,dipole_prop,0,0.0,5
7OCB,dipole_prop,0,0.08307205023042115,5
Comp36,dipole_prop,0,0.042222222222222223,5
Comp49,dipole_prop,0,0.11670386301612043,5
Comp93,dipole_prop,0,0.0,5
HP33,dipole_prop,0,0.06845188550658426,5
RM734,dipole_prop,1,0.5554979381757522,5
EC4F,dipole_prop,0,0.7723073491448306,5
EC5F,dipole_prop,1,0.629567974387197,5
EC7F,dipole_prop,0,0.21998773649296152,5
RM734-2,dipole_prop,1,0.38584540799964934,5
5-9,dipole_prop,1,0.4976481639465868,5
6-3,dipole_prop,0,0.8227550795911747,5
6-4,dipole_prop,0,0.7643725672780731,5
6-9,dipole_prop,0,0.6146848750928692,5
NT3-1,dipole_prop,1,0.9656419050473691,5
NT3-3,dipole_prop,1,0.6293812337471166,5
Sulfur-15,dipole_prop,1,0.8686759008594415,5
DIO-2,dipole_prop,1,0.8462649269260255,5
DIO-3,dipole_prop,1,0.9476481221983133,5
EST-2,dipole_prop,1,0.6194437238318639,5
S5,dipole_prop,1,0.5887031079380922,5
S6,dipole_prop,0,0.10826886932264684,5
S8,dipole_prop,1,0.8544016787955765,5
1-2-Z2,dipole_prop,1,0.7505575526320729,5
M-1-0,dipole_prop,1,0.498878123076786,5
M-2-0,dipole_prop,1,0.7961442515296917,5
M-2-1,dipole_prop,1,0.7114534647323326,5
