molecule_id,family,cv_fold,true_lbl,class_lbl,score
3CN,dipole_prop,2,5,4,0.8812849162011173
3CN,dipole_prop,2,5,5,0.11173184357541899
O6,dipole_prop,2,2,2,0.21875
O6,dipole_prop,2,2,4,0.6946022727272727
O6,dipole_prop,2,2,5,0.08664772727272727
2-2-Z1,dipole_prop,2,2,2,0.9544807965860598
2-2-Z1,dipole_prop,2,2,4,0.03698435277382646
2-2-Z1,dipole_prop,2,2,5,0.008534850640113799
1-2-Z2,dipole_prop,2,4,2,0.10140845070422536
1-2-Z2,dipole_prop,2,4,4,0.8873239436619719
1-2-Z2,dipole_prop,2,4,5,0.011267605633802818
SCUT1b,dipole_prop,2,5,2,0.09544787077826726
SCUT1b,dipole_prop,2,5,4,0.24963289280469897
SCUT1b,dipole_prop,2,5,5,0.6549192364170338
SCUT23a,dipole_prop,2,2,2,0.03773584905660377
SCUT23a,dipole_prop,2,2,4,0.29317851959361396
SCUT23a,dipole_prop,2,2,5,0.6690856313497823
M-0-2,dipole_prop,2,4,2,0.9741750358680058
M-0-2,dipole_prop,2,4,4,0.02582496413199426
M-0-2,dipole_prop,2,4,5,0.0
Li-1b,dipole_prop,2,2,2,0.635343618513324
Li-1b,dipole_prop,2,2,4,0.09537166900420758
Li-1b,dipole_prop,2,2,5,0.2692847124824685
Li-4c,dipole_prop,2,4,2,0.34711964549483015
Li-4c,dipole_prop,2,4,4,0.6528803545051699
Li-4c,dipole_prop,2,4,5,0.0
Li-5a,dipole_prop,2,2,2,0.8671428571428571
Li-5a,dipole_prop,2,2,4,0.13285714285714287
Li-5a,dipole_prop,2,2,5,0.0
Li-7,dipole_prop,2,4,2,1.0
Li-7,dipole_prop,2,4,4,0.0
Li-7,dipole_prop,2,4,5,0.0
Li-10a,dipole_prop,2,2,2,0.8675400291120815
Li-10a,dipole_prop,2,2,4,0.1324599708879185
Li-10a,dipole_prop,2,2,5,0.0
Li-11b,dipole_prop,2,2,2,0.3946666666666667
Li-11b,dipole_prop,2,2,4,0.6053333333333334
Li-11b,dipole_prop,2,2,5,0.0
Li-15,dipole_prop,2,4,2,0.6372688477951637
Li-15,dipole_prop,2,4,4,0.2844950213371266
Li-15,dipole_prop,2,4,5,0.07823613086770982
Li-25,dipole_prop,2,4,2,0.005633802816901409
Li-25,dipole_prop,2,4,4,0.36338028169014086
Li-25,dipole_prop,2,4,5,0.6309859154929578
PR07117,dipole_prop,3,2,2,1.0
PR07117,dipole_prop,3,2,4,0.0
PR07117,dipole_prop,3,2,5,0.0
06129KW,dipole_prop,3,2,2,1.0
06129KW,dipole_prop,3,2,4,0.0
06129KW,dipole_prop,3,2,5,0.0
06128KW,dipole_prop,3,2,2,1.0
06128KW,dipole_prop,3,2,4,0.0
06128KW,dipole_prop,3,2,5,0.0
06120KW,dipole_prop,3,2,2,1.0
06120KW,dipole_prop,3,2,4,0.0
06120KW,dipole_prop,3,2,5,0.0
07007KW,dipole_prop,3,2,2,0.9863636363636363
07007KW,dipole_prop,3,2,4,0.013636363636363636
07007KW,dipole_prop,3,2,5,0.0
MJ01064,dipole_prop,3,2,2,1.0
MJ01064,dipole_prop,3,2,4,0.0
MJ01064,dipole_prop,3,2,5,0.0
01031MR,dipole_prop,3,2,2,0.9954462659380693
01031MR,dipole_prop,3,2,4,0.004553734061930783
01031MR,dipole_prop,3,2,5,0.0
07094KW,dipole_prop,3,2,2,0.9743354720439963
07094KW,dipole_prop,3,2,4,0.025664527956003668
07094KW,dipole_prop,3,2,5,0.0
07129KW,dipole_prop,3,2,2,1.0
07129KW,dipole_prop,3,2,4,0.0
07129KW,dipole_prop,3,2,5,0.0
07036KW,dipole_prop,3,2,2,0.9246575342465754
07036KW,dipole_prop,3,2,4,0.0
07036KW,dipole_prop,3,2,5,0.07534246575342465
07035KW,dipole_prop,3,2,2,1.0
07035KW,dipole_prop,3,2,4,0.0
07035KW,dipole_prop,3,2,5,0.0
5CB,dipole_prop,3,2,2,0.9990900818926297
5CB,dipole_prop,3,2,4,0.0009099181073703367
5CB,dipole_prop,3,2,5,0.0
6OCB,dipole_prop,3,2,2,1.0
6OCB,dipole_prop,3,2,4,0.0
6OCB,dipole_prop,3,2,5,0.0
RO-CM-7037,dipole_prop,3,2,2,1.0
RO-CM-7037,dipole_prop,3,2,4,0.0
RO-CM-7037,dipole_prop,3,2,5,0.0
PYP609,dipole_prop,3,2,2,1.0
PYP609,dipole_prop,3,2,4,0.0
