molecule_id,family,cv_fold,true_lbl,class_lbl,score
Sulfur-18,dipole_prop,4,2,5,0.37178095745787404
EST-2,dipole_prop,4,5,2,0.23457902903186648
EST-2,dipole_prop,4,5,4,0.39223148380181877
EST-2,dipole_prop,4,5,5,0.3731894871663147
O6,dipole_prop,4,2,2,0.1619355143423019
O6,dipole_prop,4,2,4,0.44030981994671187
O6,dipole_prop,4,2,5,0.3977546657109862
1-2-Z2,dipole_prop,4,4,2,0.28413924662688395
1-2-Z2,dipole_prop,4,4,4,0.3587340115918628
1-2-Z2,dipole_prop,4,4,5,0.35712674178125337
SCUT23a,dipole_prop,4,2,2,0.2308326273917575
SCUT23a,dipole_prop,4,2,4,0.39475106750355105
SCUT23a,dipole_prop,4,2,5,0.3744163051046914
M-0-2,dipole_prop,4,4,2,0.10955828321300072
M-0-2,dipole_prop,4,4,4,0.4729270548909001
M-0-2,dipole_prop,4,4,5,0.4175146618960992
Li-1b,dipole_prop,4,2,2,0.31112303919695317
Li-1b,dipole_prop,4,2,4,0.3404536246953361
Li-1b,dipole_prop,4,2,5,0.3484233361077107
Li-4c,dipole_prop,4,4,2,0.11528098570561288
Li-4c,dipole_prop,4,4,4,0.4695100596478442
Li-4c,dipole_prop,4,4,5,0.41520895464654284
Li-5a,dipole_prop,4,2,2,0.12051309499066476
Li-5a,dipole_prop,4,2,4,0.46634721325055
Li-5a,dipole_prop,4,2,5,0.4131396917587852
Li-11b,dipole_prop,4,2,2,0.08420754564076227
Li-11b,dipole_prop,4,2,4,0.48739959394220433
Li-11b,dipole_prop,4,2,5,0.4283928604170333
Li-25,dipole_prop,4,4,2,0.17553121759502568
Li-25,dipole_prop,4,4,4,0.4314808412309002
Li-25,dipole_prop,4,4,5,0.3929879411740741
07007KW,dipole_prop,5,2,2,0.6635229631507622
07007KW,dipole_prop,5,2,4,0.11930121093673197
07007KW,dipole_prop,5,2,5,0.2171758259125057
07094KW,dipole_prop,5,2,2,0.6134740920904878
07094KW,dipole_prop,5,2,4,0.1474625434760227
07094KW,dipole_prop,5,2,5,0.2390633644334897
07129KW,dipole_prop,5,2,2,0.7745932162066029
07129KW,dipole_prop,5,2,4,0.06370254723224687
07129KW,dipole_prop,5,2,5,0.16170423656115018
07036KW,dipole_prop,5,2,2,0.5350468194906384
07036KW,dipole_prop,5,2,4,0.19449979307962442
07036KW,dipole_prop,5,2,5,0.2704533874297371
07035KW,dipole_prop,5,2,2,0.6499686197751517
07035KW,dipole_prop,5,2,4,0.12676449261240325
07035KW,dipole_prop,5,2,5,0.2232668876124451
5CB,dipole_prop,5,2,2,0.6147292711039568
5CB,dipole_prop,5,2,4,0.1467368797423462
5CB,dipole_prop,5,2,5,0.23853384915369708
6OCB,dipole_prop,5,2,2,0.6294525071606358
6OCB,dipole_prop,5,2,4,0.13829634943844166
6OCB,dipole_prop,5,2,5,0.23225114340092246
RO-CM-7037,dipole_prop,5,2,2,0.6890943220971262
RO-CM-7037,dipole_prop,5,2,4,0.10558263126484002
RO-CM-7037,dipole_prop,5,2,5,0.2053230466380338
PYP609,dipole_prop,5,2,2,0.6865216909723553
PYP609,dipole_prop,5,2,4,0.10694048403058344
PYP609,dipole_prop,5,2,5,0.2065378249970614
I35,dipole_prop,5,2,2,0.5488188724076832
I35,dipole_prop,5,2,4,0.18601750143068752
I35,dipole_prop,5,2,5,0.26516362616162925
EC6F,dipole_prop,5,5,2,0.19438479340864473
EC6F,dipole_prop,5,5,4,0.4193655719273958
EC6F,dipole_prop,5,5,5,0.3862496346639595
1O(M-O1)PEPEBNO2,dipole_prop,5,4,2,0.19072227670397118
1O(M-O1)PEPEBNO2,dipole_prop,5,4,4,0.42177398762837015
1O(M-O1)PEPEBNO2,dipole_prop,5,4,5,0.3875037356676586
5-2,dipole_prop,5,4,2,0.24650474203805992
5-2,dipole_prop,5,4,4,0.38463392152192444
5-2,dipole_prop,5,4,5,0.3688613364400156
6-8,dipole_prop,5,2,2,0.19770024230488
6-8,dipole_prop,5,2,4,0.41718068168315375
6-8,dipole_prop,5,2,5,0.38511907601196627
NT3F-5,dipole_prop,5,2,2,0.13606914517349483
NT3F-5,dipole_prop,5,2,4,0.45680636593195567
NT3F-5,dipole_prop,5,2,5,0.4071244888945495
EST-3,dipole_prop,5,5,2,0.2975392503833157
EST-3,dipole_prop,5,5,4,0.350208102173476
EST-3,dipole_prop,5,5,5,0.3522526474432084
S4,dipole_prop,5,2,2,0.2166930848842831
S4,dipole_prop,5,2,4,0.40458935104272536
S4,dipole_prop,5,2,5,0.3787175640729915
S8,dipole_prop,5,4,2,0.16314206929050706
S8,dipole_prop,5,4,4,0.43969973902844667
S8,dipole_prop,5,4,5,0.3971581916810463
SCUT7a,dipole_prop,5,5,2,0.14395940530480072
SCUT7a,dipole_prop,5,5,4,0.451883375987789
SCUT7a,dipole_prop,5,5,5,0.4041572187074102
M-0-1,dipole_prop,5,4,2,0.17717227959036283
M-0-1,dipole_prop,5,4,4,0.43063142815928274
M-0-1,dipole_prop,5,4,5,0.3921962922503544
Li-4b,dipole_prop,5,4,2,0.13155463899350803
Li-4b,dipole_prop,5,4,4,0.4595959825969785
Li-4b,dipole_prop,5,4,5,0.4088493784095136
Li-9c,dipole_prop,5,4,2,0.0834710160325796
Li-9c,dipole_prop,5,4,4,0.48757704596106854
Li-9c,dipole_prop,5,4,5,0.4289519380063518
Li-14,dipole_prop,5,2,2,0.08838472630048542
Li-14,dipole_prop,5,2,4,0.48490776144984726
Li-14,dipole_prop,5,2,5,0.4267075122496673
Li-20,dipole_prop,5,2,2,0.47801211334085086
Li-20,dipole_prop,5,2,4,0.23047088145988817
Li-20,dipole_prop,5,2,5,0.291517005199261
PR07117,dipole_prop,6,2,2,0.7469922799489076
PR07117,dipole_prop,6,2,4,0.08864925221361815
PR07117,dipole_prop,6,2,5,0.16435846783747413
06129KW,dipole_prop,6,2,2,0.7663859563866582
06129KW,dipole_prop,6,2,4,0.07937081919566535
06129KW,dipole_prop,6,2,5,0.15424322441767657
06128KW,dipole_prop,6,2,2,0.7367854880445542
06128KW,dipole_prop,6,2,4,0.09363813411593794
06128KW,dipole_prop,6,2,5,0.1695763778395079
06120KW,dipole_prop,6,2,2,0.7231112282211981
06120KW,dipole_prop,6,2,4,0.10043053266797197
06120KW,dipole_prop,6,2,5,0.1764582391108298
MJ01064,dipole_prop,6,2,2,0.688646334579517
MJ01064,dipole_prop,6,2,4,0.11806750638124963
MJ01064,dipole_prop,6,2,5,0.19328615903923346
01031MR,dipole_prop,6,2,2,0.6419464454258736
01031MR,dipole_prop,6,2,4,0.14303026170316463
01031MR,dipole_prop,6,2,5,0.2150232928709618
MBBA,dipole_prop,6,2,2,0.9508874967202043
MBBA,dipole_prop,6,2,4,0.00897685576790776
MBBA,dipole_prop,6,2,5,0.04013564751188775
Comp114,dipole_prop,6,2,2,0.9289250235137692
Comp114,dipole_prop,6,2,4,0.015072837315546775
Comp114,dipole_prop,6,2,5,0.056002139170684036
BCH5,dipole_prop,6,2,2,0.9292555891180013
