molecule_id,family,y_true,y_score,cv_fold
M-2-0,dipole_prop,1,0.5745332039390865,8
Li-2a,dipole_prop,1,0.617781913602813,8
Li-5b,dipole_prop,1,0.7708238283454181,8
Li-13a,dipole_prop,0,0.6153278732495425,8
Li-21,dipole_prop,0,0.6862474356139721,8
07031KW,dipole_prop,0,0.1761401202307397,9
PR09089,dipole_prop,0,0.15945592554365756,9
06107KW,dipole_prop,0,0.14376449505128452,9
06131KW,dipole_prop,0,0.1828643401491521,9
07056KW,dipole_prop,0,0.17813648076219527,9
07038KW,dipole_prop,0,0.45248963794631103,9
7OCB,dipole_prop,0,0.19391972226655363,9
HP33,dipole_prop,0,0.39059398056769334,9
RM734,dipole_prop,1,0.6750594615250213,9
EC4F,dipole_prop,0,0.7461629651790372,9
5-9,dipole_prop,1,0.6707527818831365,9
6-3,dipole_prop,0,0.7874601473566756,9
6-4,dipole_prop,0,0.6801560915693037,9
6-9,dipole_prop,0,0.7683779178940641,9
EST-2,dipole_prop,1,0.6389179447576265,9
S5,dipole_prop,1,0.7726148633928627,9
S8,dipole_prop,1,0.75225956382461,9
M-1-0,dipole_prop,1,0.475666755412363,9
M-2-1,dipole_prop,1,0.5747103452012838,9
Li-7,dipole_prop,1,0.36833795359483046,9
Li-9b,dipole_prop,0,0.8050105839630216,9
Li-11c,dipole_prop,0,0.8506086018075373,9
Li-17a,dipole_prop,0,0.6893374508347665,9
06115KW,dipole_prop,0,0.1390064793350717,10
MJ01041,dipole_prop,0,0.18571514447492135,10
RT08050,dipole_prop,0,0.1845815200047305,10
06101KW,dipole_prop,0,0.11540187384172415,10
08125KW,dipole_prop,0,0.18794744835752356,10
08128KW,dipole_prop,0,0.1965023408799265,10
Acid1,dipole_prop,0,0.08486627994071964,10
Comp36,dipole_prop,0,0.15584448323360317,10
Comp49,dipole_prop,0,0.2325285037530538,10
Comp93,dipole_prop,0,0.01729988739086695,10
EC5F,dipole_prop,1,0.6298370106459358,10
EC7F,dipole_prop,0,0.6467690649689969,10
RM734-2,dipole_prop,1,0.7895993702933793,10
NT3-1,dipole_prop,1,0.7109244719896223,10
NT3-3,dipole_prop,1,0.6343915511895168,10
Sulfur-15,dipole_prop,1,0.6179486987106754,10
DIO-2,dipole_prop,1,0.740645201490844,10
DIO-3,dipole_prop,1,0.6881019268981728,10
S6,dipole_prop,0,0.8482525003666648,10
1-2-Z2,dipole_prop,1,0.5668198146548593,10
Li-9a,dipole_prop,0,0.8315413316838224,10
Li-10b,dipole_prop,0,0.8356084894138531,10
Li-18,dipole_prop,0,0.8788698183872181,10
MJ01077,sigma_profile,0,0.14980062644448522,1
MJ01075,sigma_profile,0,0.08957668273185004,1
RT09068,sigma_profile,0,0.22034771405219394,1
07004KW,sigma_profile,0,0.154227699092925,1
08118KW,sigma_profile,0,0.14846606820436967,1
09079KW,sigma_profile,0,0.20729938419701766,1
Acid4,sigma_profile,0,0.6813542695451287,1
Comp89,sigma_profile,0,0.025510898544000616,1
Comp120,sigma_profile,0,0.8549475136921749,1
EC2F,sigma_profile,1,0.6516394568546439,1
RM734-3,sigma_profile,0,0.6646112292009716,1
5-5,sigma_profile,1,0.4345134452452177,1
6-2,sigma_profile,0,0.6185811569250298,1
6-5,sigma_profile,0,0.5744501662727872,1
UUQU-4-N,sigma_profile,0,0.8778699400492416,1
NT3-2,sigma_profile,1,0.5503089271088767,1
NT3F-4,sigma_profile,0,0.6340895857667374,1
Sulfur-7,sigma_profile,1,0.7268952867241094,1
S3,sigma_profile,1,0.6385755552758735,1
O5,sigma_profile,1,0.5842329598240316,1
SCUT1b,sigma_profile,1,0.6649151306171167,1
M-2-2,sigma_profile,1,0.8034021104272542,1
Li-11a,sigma_profile,0,0.4845658313570265,1
Li-22,sigma_profile,0,0.5448911570412817,1
06121KW,sigma_profile,0,0.05145811307068332,2
MJ01066,sigma_profile,0,0.13672464733543815,2
PR10004,sigma_profile,0,0.36990264267224277,2
08141KW,sigma_profile,0,0.17143626140387147,2
07099KW,sigma_profile,0,0.4808463653694147,2
AF01009,sigma_profile,0,0.40020398713791067,2
08116KW,sigma_profile,0,0.5129206625965246,2
08131KW,sigma_profile,0,0.4933232296686128,2
6CB,sigma_profile,0,0.3413343643655396,2
PCH-4,sigma_profile,0,0.9480807307371181,2
PCH-5,sigma_profile,0,0.9410305170989174,2
PCH-7,sigma_profile,0,0.9395289970326923,2
EC1F,sigma_profile,1,0.5838870304740312,2
EC3F,sigma_profile,1,0.5760423048964809,2
1O(M-O6)PEPEBNO2,sigma_profile,1,0.5418381621762433,2
6-6,sigma_profile,0,0.4979049125929818,2
NT3F-1,sigma_profile,1,0.637367740674031,2
Sulfur-14,sigma_profile,1,0.5730246844786079,2
3CN,sigma_profile,1,0.3044608618086456,2
M-0-2,sigma_profile,1,0.8952741474781932,2
Li-4a,sigma_profile,0,0.4414820036680525,2
Li-9c,sigma_profile,1,0.5163749414440968,2
Li-19,sigma_profile,0,0.43509465976398315,2
Li-23,sigma_profile,1,0.7262580196741049,2
06119KW,sigma_profile,0,0.1603368038997721,3
MJ01071,sigma_profile,0,0.257197596800971,3
MJ01073,sigma_profile,0,0.14228955287587158,3
08119KW,sigma_profile,0,0.14927944585490457,3
08123KW,sigma_profile,0,0.12149665189772903,3
7CB,sigma_profile,0,0.27111009351421705,3
5OCB,sigma_profile,0,0.20816160245632276,3
Comp35,sigma_profile,0,0.18800181602413144,3
PYP605,sigma_profile,0,0.09202309272566997,3
Comp113,sigma_profile,0,0.06362696759542322,3
BCH52F,sigma_profile,0,0.2512984566035893,3
I32,sigma_profile,0,0.09604488556185962,3
EC6F,sigma_profile,1,0.6079298763222777,3
1O(M-O5)PEPEBNO2,sigma_profile,1,0.5652197315207756,3
1O(M-O7)PEPEBNO2,sigma_profile,1,0.46507037629544573,3
5-8,sigma_profile,1,0.27533092108411483,3
6-1,sigma_profile,1,0.6147864068189595,3
6-7,sigma_profile,0,0.4070263921409068,3
NT3-4,sigma_profile,1,0.5470568545019325,3
EST-1,sigma_profile,1,0.8224677810592717,3
2-2-Z1,sigma_profile,0,0.47327064954402326,3
SCUT22c,sigma_profile,1,0.7900849599239783,3
Li-10a,sigma_profile,0,0.43726772606890524,3
Li-25,sigma_profile,1,0.5170449965217113,3
MJ01056,sigma_profile,0,0.06036473800571472,4
RT08049,sigma_profile,0,0.5987488871384005,4
07080KW,sigma_profile,0,0.09566995027254788,4
Acid5-HOBA,sigma_profile,0,0.6601688298808854,4
RO-CM-4513,sigma_profile,0,0.3289066421227059,4
RO-CM-1540,sigma_profile,0,0.13581596809505303,4
Comp97,sigma_profile,0,0.10307300078136836,4
5-2,sigma_profile,1,0.5492706055160963,4
5-3,sigma_profile,1,0.6082019591185321,4
NT3-6,sigma_profile,1,0.4769954461858188,4
NT3F-6,sigma_profile,0,0.5640820773998485,4
Sulfur-12,sigma_profile,0,0.6267053655224575,4
Sulfur-18,sigma_profile,0,0.4607180237443627,4
O6,sigma_profile,0,0.7088133898040703,4
SCUT1a,sigma_profile,1,0.5621336535386668,4
SCUT7a,sigma_profile,1,0.7608465716124923,4
SCUT23a,sigma_profile,0,0.7583155950905845,4
M-1-1,sigma_profile,1,0.8185892404388163,4
Li-1b,sigma_profile,0,0.7774410222186401,4
Li-5a,sigma_profile,0,0.5292920352615275,4
Li-5c,sigma_profile,1,0.540890461301151,4
Li-8,sigma_profile,1,0.9406916418039241,4
Li-11b,sigma_profile,0,0.41648965908253516,4
Li-15,sigma_profile,1,0.5068353014666005,4
07007KW,sigma_profile,0,0.10304420662065512,5
07094KW,sigma_profile,0,0.47578779706909297,5
07129KW,sigma_profile,0,0.0975252496830741,5
07036KW,sigma_profile,0,0.29718642757030234,5
